"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-03-12 14:59:25 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2012,Iceland,"Syrian Arab Rep.",Asylum-seekers,2
2012,Iceland,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2
2012,Israel,"Syrian Arab Rep.",Asylum-seekers,0
2012,Italy,"Syrian Arab Rep.",Asylum-seekers,507
2012,Italy,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",445
2012,Jordan,"Syrian Arab Rep.",Asylum-seekers,491
2012,Jordan,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",238798
2012,Japan,"Syrian Arab Rep.",Asylum-seekers,18
2012,Kazakhstan,"Syrian Arab Rep.",Asylum-seekers,12
2012,Kyrgyzstan,"Syrian Arab Rep.",Asylum-seekers,34
2012,Kyrgyzstan,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",7
2012,Cambodia,"Syrian Arab Rep.",Asylum-seekers,1
2012,"Rep. of Korea","Syrian Arab Rep.",Asylum-seekers,146
2012,Kuwait,"Syrian Arab Rep.",Asylum-seekers,8
2012,Kuwait,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",15
2012,Lebanon,"Syrian Arab Rep.",Asylum-seekers,242
2012,Lebanon,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",126939
2012,Libya,"Syrian Arab Rep.",Asylum-seekers,3794
2012,Liechtenstein,"Syrian Arab Rep.",Asylum-seekers,0
2012,"Sri Lanka","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2012,Lithuania,"Syrian Arab Rep.",Asylum-seekers,5
2012,Lithuania,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",5
2012,Luxembourg,"Syrian Arab Rep.",Asylum-seekers,0
2012,Latvia,"Syrian Arab Rep.",Asylum-seekers,15
2012,Latvia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",17
2012,"China, Macao SAR","Syrian Arab Rep.",Asylum-seekers,1
2012,Morocco,"Syrian Arab Rep.",Asylum-seekers,842
2012,"Rep. of Moldova","Syrian Arab Rep.",Asylum-seekers,33
2012,"Rep. of Moldova","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",55
2012,Mexico,"Syrian Arab Rep.",Asylum-seekers,0
2012,Mexico,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2
2012,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.",Asylum-seekers,1
2012,Malta,"Syrian Arab Rep.",Asylum-seekers,139
2012,Malta,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",191
2012,Montenegro,"Syrian Arab Rep.",Asylum-seekers,7
2012,Malaysia,"Syrian Arab Rep.",Asylum-seekers,83
2012,Malaysia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",4
2012,Niger,"Syrian Arab Rep.",Asylum-seekers,6
2012,Nigeria,"Syrian Arab Rep.",Asylum-seekers,1
2012,Netherlands,"Syrian Arab Rep.",Asylum-seekers,231
2012,Netherlands,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1449
2012,Norway,"Syrian Arab Rep.",Asylum-seekers,306
2012,Norway,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",565
2012,Nepal,"Syrian Arab Rep.",Asylum-seekers,0
2012,"New Zealand","Syrian Arab Rep.",Asylum-seekers,3
2012,"New Zealand","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",41
2012,Oman,"Syrian Arab Rep.",Asylum-seekers,4
2012,Oman,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",7
2012,Pakistan,"Syrian Arab Rep.",Asylum-seekers,0
2012,Pakistan,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",11
2012,Panama,"Syrian Arab Rep.",Asylum-seekers,0
2012,Philippines,"Syrian Arab Rep.",Asylum-seekers,5
2012,Poland,"Syrian Arab Rep.",Asylum-seekers,83
2012,Poland,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",17
2012,Portugal,"Syrian Arab Rep.",Asylum-seekers,9
2012,Qatar,"Syrian Arab Rep.",Asylum-seekers,1
2012,Qatar,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",8
2012,Romania,"Syrian Arab Rep.",Asylum-seekers,10
2012,Romania,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",152
2012,"Russian Federation","Syrian Arab Rep.",Asylum-seekers,91
2012,"Russian Federation","Syrian Arab Rep.","Others of concern",1400
2012,"Russian Federation","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",53
2012,"Saudi Arabia","Syrian Arab Rep.",Asylum-seekers,12
2012,"Saudi Arabia","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",14
2012,Sudan,"Syrian Arab Rep.",Asylum-seekers,32
2012,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",Asylum-seekers,49
2012,Slovakia,"Syrian Arab Rep.",Asylum-seekers,0
2012,Slovakia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",24
2012,Slovenia,"Syrian Arab Rep.",Asylum-seekers,8
2012,Slovenia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2
2012,Sweden,"Syrian Arab Rep.",Asylum-seekers,3751
2012,Sweden,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",6051
2012,"Syrian Arab Rep.","Syrian Arab Rep.","Internally displaced persons",2016500
2012,"Syrian Arab Rep.","Syrian Arab Rep.",Stateless,221000
2012,Chad,"Syrian Arab Rep.",Asylum-seekers,0
2012,Chad,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",4
2012,Togo,"Syrian Arab Rep.",Asylum-seekers,8
2012,Togo,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2012,Thailand,"Syrian Arab Rep.",Asylum-seekers,60
2012,Thailand,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",10
2012,Tunisia,"Syrian Arab Rep.",Asylum-seekers,30
2012,Tunisia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",6
2012,Turkey,"Syrian Arab Rep.",Asylum-seekers,200
2012,Turkey,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",248466
2012,Turkey,"Syrian Arab Rep.",Returnees,68573
2012,"United Rep. of Tanzania","Syrian Arab Rep.",Asylum-seekers,1
2012,Uganda,"Syrian Arab Rep.",Asylum-seekers,1
2012,Ukraine,"Syrian Arab Rep.",Asylum-seekers,453
2012,Ukraine,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",63
2012,"United States of America","Syrian Arab Rep.",Asylum-seekers,367
2012,"United States of America","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1425
2012,Yemen,"Syrian Arab Rep.",Asylum-seekers,131
2012,Yemen,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",42
2012,"South Africa","Syrian Arab Rep.",Asylum-seekers,8
2012,"South Africa","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2
2013,Angola,"Syrian Arab Rep.",Asylum-seekers,1
2013,Albania,"Syrian Arab Rep.",Asylum-seekers,15
2013,"United Arab Emirates","Syrian Arab Rep.",Asylum-seekers,14
2013,"United Arab Emirates","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",16
2013,Argentina,"Syrian Arab Rep.",Asylum-seekers,12
2013,Argentina,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",159
2013,Armenia,"Syrian Arab Rep.",Asylum-seekers,42
2013,Armenia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",11090
2013,"Antigua and Barbuda","Syrian Arab Rep.",Asylum-seekers,1
2013,Australia,"Syrian Arab Rep.",Asylum-seekers,139
2013,Australia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",265
2013,Austria,"Syrian Arab Rep.",Asylum-seekers,1561
2013,Austria,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2748
2013,Azerbaijan,"Syrian Arab Rep.",Asylum-seekers,6
2013,Azerbaijan,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",9
2013,Belgium,"Syrian Arab Rep.",Asylum-seekers,378
2013,Belgium,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1987
2013,Benin,"Syrian Arab Rep.",Asylum-seekers,0
2013,Benin,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2013,Bulgaria,"Syrian Arab Rep.",Asylum-seekers,2500
2013,Bulgaria,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2104
2013,Bahrain,"Syrian Arab Rep.",Asylum-seekers,0
2013,"Bosnia and Herzegovina","Syrian Arab Rep.",Asylum-seekers,18
2013,"Bosnia and Herzegovina","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",48
2013,Belarus,"Syrian Arab Rep.",Asylum-seekers,25
2013,Belarus,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",35
2013,Belize,"Syrian Arab Rep.",Asylum-seekers,0
2013,"Bolivia (Plurinational State of)","Syrian Arab Rep.",Asylum-seekers,0
2013,"Bolivia (Plurinational State of)","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",3
2013,Brazil,"Syrian Arab Rep.",Asylum-seekers,70
2013,Brazil,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",333
2013,Barbados,"Syrian Arab Rep.",Asylum-seekers,0
2013,Barbados,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2013,Canada,"Syrian Arab Rep.",Asylum-seekers,435
2013,Canada,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",592
2013,Switzerland,"Syrian Arab Rep.",Asylum-seekers,2849
2013,Switzerland,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2012
2013,Chile,"Syrian Arab Rep.",Asylum-seekers,5
2013,Chile,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",5
2013,China,"Syrian Arab Rep.",Asylum-seekers,1
2013,"Côte d'Ivoire","Syrian Arab Rep.",Asylum-seekers,12
2013,"Côte d'Ivoire","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2
2013,Cameroon,"Syrian Arab Rep.",Asylum-seekers,7
2013,Cameroon,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2013,"Dem. Rep. of the Congo","Syrian Arab Rep.",Asylum-seekers,2
2013,Colombia,"Syrian Arab Rep.",Asylum-seekers,1
2013,Colombia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2
2013,"Costa Rica","Syrian Arab Rep.",Asylum-seekers,4
2013,"Costa Rica","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2013,Cuba,"Syrian Arab Rep.",Asylum-seekers,0
2013,Cuba,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",24
2013,Curaçao,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2013,Cyprus,"Syrian Arab Rep.",Asylum-seekers,1319
2013,Cyprus,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",316
2013,"Czech Rep.","Syrian Arab Rep.",Asylum-seekers,25
2013,"Czech Rep.","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",149
2013,Germany,"Syrian Arab Rep.",Asylum-seekers,10566
2013,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",21253
2013,Djibouti,"Syrian Arab Rep.",Asylum-seekers,1
2013,Denmark,"Syrian Arab Rep.",Asylum-seekers,86
2013,Denmark,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",3271
2013,"Dominican Rep.","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",3
2013,"Dominican Rep.","Syrian Arab Rep.",Returnees,4
